          Basketball,0.595
                Bolt,0.210
                 Boy,0.734
                Car4,0.346
             CarDark,0.458
            CarScale,0.568
                Coke,0.371
              Couple,0.600
            Crossing,0.508
               David,0.441
              David2,0.692
              David3,0.534
                Deer,0.757
                Dog1,0.719
                Doll,0.653
               Dudek,0.756
            FaceOcc1,0.722
            FaceOcc2,0.566
                Fish,0.830
           FleetFace,0.495
            Football,0.322
           Football1,0.542
            Freeman1,0.350
            Freeman3,0.460
            Freeman4,0.121
                Girl,0.174
             Ironman,0.113
             Jogging,0.677
            Jogging2,0.789
             Jumping,0.665
             Lemming,0.623
              Liquor,0.334
              Matrix,0.398
              Mhyang,0.845
        MotorRolling,0.148
        MountainBike,0.610
             Shaking,0.120
             Singer1,0.742
             Singer2,0.137
            Skating1,0.113
              Skiing,0.382
              Soccer,0.181
              Subway,0.608
                 Suv,0.188
           Sylvester,0.305
              Tiger1,0.256
              Tiger2,0.443
             Trellis,0.575
             Walking,0.607
            Walking2,0.393
               Woman,0.150
             overall,0.469
